"","Typ","BL","Produktionsvolumen"
"1","Abfall","BW",98
"2","Biomasse","BW",796
"3","Braunkohle","BW",0
"4","Deponiegas","BW",34
"5","Erdgas","BW",1051
"6","Geothermie","BW",1
"7","Grubengas","BW",0
"8","Kernenergie","BW",2712
"9","Klärgas","BW",0
"10","Laufwasser","BW",791
"11","Mehrere Energieträger
(nicht erneuerbar)","BW",0
"12","Mineralölprodukte","BW",700
"13","Pumpspeicher","BW",1873
"14","Solare Strahlungsenergie","BW",5267
"15","Sonstige Energieträger
(nicht erneuerbar) ","BW",0
"16","Speicherwasser 
(ohne Pumpspeicher)","BW",0
"17","Steinkohle","BW",5525
"18","Unbekannter Energieträger
(nicht erneuerbar)","BW",0
"19","Windenergie 
(Offshore-Anlage)
Quelle: Anlagenregister","BW",0
"20","Windenergie 
(Onshore-Anlage)","BW",631
"21","Summe","BW",19479
"22","Abfall","BY",214
"23","Biomasse","BY",1295
"24","Braunkohle","BY",0
"25","Deponiegas","BY",9
"26","Erdgas","BY",4488
"27","Geothermie","BY",23
"28","Grubengas","BY",0
"29","Kernenergie","BY",5257
"30","Klärgas","BY",27
"31","Laufwasser","BY",1964
"32","Mehrere Energieträger
(nicht erneuerbar)","BY",0
"33","Mineralölprodukte","BY",969
"34","Pumpspeicher","BY",550
"35","Solare Strahlungsenergie","BY",10805
"36","Sonstige Energieträger
(nicht erneuerbar) ","BY",29
"37","Speicherwasser 
(ohne Pumpspeicher)","BY",170
"38","Steinkohle","BY",847
"39","Unbekannter Energieträger
(nicht erneuerbar)","BY",0
"40","Windenergie 
(Offshore-Anlage)
Quelle: Anlagenregister","BY",0
"41","Windenergie 
(Onshore-Anlage)","BY",1289
"42","Summe","BY",27936
"43","Abfall","BE",36
"44","Biomasse","BE",34
"45","Braunkohle","BE",164
"46","Deponiegas","BE",0
"47","Erdgas","BE",1087
"48","Geothermie","BE",0
"49","Grubengas","BE",0
"50","Kernenergie","BE",0
"51","Klärgas","BE",0
"52","Laufwasser","BE",0
"53","Mehrere Energieträger
(nicht erneuerbar)","BE",0
"54","Mineralölprodukte","BE",327
"55","Pumpspeicher","BE",0
"56","Solare Strahlungsenergie","BE",103
"57","Sonstige Energieträger
(nicht erneuerbar) ","BE",0
"58","Speicherwasser 
(ohne Pumpspeicher)","BE",0
"59","Steinkohle","BE",777
"60","Unbekannter Energieträger
(nicht erneuerbar)","BE",0
"61","Windenergie 
(Offshore-Anlage)
Quelle: Anlagenregister","BE",0
"62","Windenergie 
(Onshore-Anlage)","BE",7
"63","Summe","BE",2535
"64","Abfall","BB",118
"65","Biomasse","BB",430
"66","Braunkohle","BB",4409
"67","Deponiegas","BB",32
"68","Erdgas","BB",846
"69","Geothermie","BB",0
"70","Grubengas","BB",0
"71","Kernenergie","BB",0
"72","Klärgas","BB",0
"73","Laufwasser","BB",5
"74","Mehrere Energieträger
(nicht erneuerbar)","BB",0
"75","Mineralölprodukte","BB",334
"76","Pumpspeicher","BB",0
"77","Solare Strahlungsenergie","BB",3064
"78","Sonstige Energieträger
(nicht erneuerbar) ","BB",125
"79","Speicherwasser 
(ohne Pumpspeicher)","BB",0
"80","Steinkohle","BB",0
"81","Unbekannter Energieträger
(nicht erneuerbar)","BB",0
"82","Windenergie 
(Offshore-Anlage)
Quelle: Anlagenregister","BB",0
"83","Windenergie 
(Onshore-Anlage)","BB",5537
"84","Summe","BB",14899
"85","Abfall","HB",91
"86","Biomasse","HB",4
"87","Braunkohle","HB",0
"88","Deponiegas","HB",2
"89","Erdgas","HB",170
"90","Geothermie","HB",0
"91","Grubengas","HB",0
"92","Kernenergie","HB",0
"93","Klärgas","HB",0
"94","Laufwasser","HB",10
"95","Mehrere Energieträger
(nicht erneuerbar)","HB",0
"96","Mineralölprodukte","HB",88
"97","Pumpspeicher","HB",0
"98","Solare Strahlungsenergie","HB",41
"99","Sonstige Energieträger
(nicht erneuerbar) ","HB",150
"100","Speicherwasser 
(ohne Pumpspeicher)","HB",0
"101","Steinkohle","HB",896
"102","Unbekannter Energieträger
(nicht erneuerbar)","HB",0
"103","Windenergie 
(Offshore-Anlage)
Quelle: Anlagenregister","HB",0
"104","Windenergie 
(Onshore-Anlage)","HB",139
"105","Summe","HB",1590
"106","Abfall","HH",24
"107","Biomasse","HH",50
"108","Braunkohle","HH",0
"109","Deponiegas","HH",0
"110","Erdgas","HH",150
"111","Geothermie","HH",0
"112","Grubengas","HH",0
"113","Kernenergie","HH",0
"114","Klärgas","HH",0
"115","Laufwasser","HH",0
"116","Mehrere Energieträger
(nicht erneuerbar)","HH",0
"117","Mineralölprodukte","HH",38
"118","Pumpspeicher","HH",0
"119","Solare Strahlungsenergie","HH",52
"120","Sonstige Energieträger
(nicht erneuerbar) ","HH",0
"121","Speicherwasser 
(ohne Pumpspeicher)","HH",0
"122","Steinkohle","HH",960
"123","Unbekannter Energieträger
(nicht erneuerbar)","HH",0
"124","Windenergie 
(Offshore-Anlage)
Quelle: Anlagenregister","HH",0
"125","Windenergie 
(Onshore-Anlage)","HH",64
"126","Summe","HH",1337
"127","Abfall","HE",98
"128","Biomasse","HE",258
"129","Braunkohle","HE",34
"130","Deponiegas","HE",24
"131","Erdgas","HE",1620
"132","Geothermie","HE",0
"133","Grubengas","HE",0
"134","Kernenergie","HE",0
"135","Klärgas","HE",7
"136","Laufwasser","HE",63
"137","Mehrere Energieträger
(nicht erneuerbar)","HE",0
"138","Mineralölprodukte","HE",25
"139","Pumpspeicher","HE",623
"140","Solare Strahlungsenergie","HE",1788
"141","Sonstige Energieträger
(nicht erneuerbar) ","HE",48
"142","Speicherwasser 
(ohne Pumpspeicher)","HE",20
"143","Steinkohle","HE",753
"144","Unbekannter Energieträger
(nicht erneuerbar)","HE",0
"145","Windenergie 
(Offshore-Anlage)
Quelle: Anlagenregister","HE",0
"146","Windenergie 
(Onshore-Anlage)","HE",1147
"147","Summe","HE",6508
"148","Abfall","MV",17
"149","Biomasse","MV",331
"150","Braunkohle","MV",0
"151","Deponiegas","MV",12
"152","Erdgas","MV",318
"153","Geothermie","MV",0
"154","Grubengas","MV",0
