"","BL","art","prozent"
"1","BW","Abfall",0.00503105908927563
"2","BY","Abfall",0.00766036655211913
"3","BE","Abfall",0.0142011834319527
"4","BB","Abfall",0.00791946308724832
"5","HB","Abfall",0.0571967316153363
"6","HH","Abfall",0.0179372197309417
"7","HE","Abfall",0.0150583896742471
"8","MV","Abfall",0.00325857772666283
"9","NI","Abfall",0.00326427576601671
"10","NW","Abfall",0.0117839142471782
"11","RP","Abfall",0.0146932952924394
"12","SL","Abfall",0.00875
"13","SN","Abfall",0.00173913043478261
"14","ST","Abfall",0.0203609949372661
"15","SH","Abfall",0.00168883259446907
"16","TH","Abfall",0.00220839188917888
"17","Summe","Abfall",0.00859380941516465
"18","BW","Biomasse",0.0408645207659531
"19","BY","Biomasse",0.0463559564719359
"20","BE","Biomasse",0.0134122287968442
"21","BB","Biomasse",0.0288590604026846
"22","HB","Biomasse",0.00251414204902577
"23","HH","Biomasse",0.0373692077727952
"24","HE","Biomasse",0.0396435156730178
"25","MV","Biomasse",0.0634464251485528
"26","NI","Biomasse",0.0551009749303621
"27","NW","Biomasse",0.0170369844537517
"28","RP","Biomasse",0.0235378031383738
"29","SL","Biomasse",0.00625
"30","SN","Biomasse",0.0306521739130435
"31","ST","Biomasse",0.0453444860224521
"32","SH","Biomasse",0.0360987967067764
"33","TH","Biomasse",0.0491869102589841
"34","Summe","Biomasse",0.0338631581615839
"35","BW","Braunkohle",0
"36","BY","Braunkohle",0
"37","BE","Braunkohle",0.0646942800788955
"38","BB","Braunkohle",0.295906040268456
"39","HB","Braunkohle",0
"40","HH","Braunkohle",0
"41","HE","Braunkohle",0.00522433927473878
"42","MV","Braunkohle",0
"43","NI","Braunkohle",0.0153203342618384
"44","NW","Braunkohle",0.253945718274532
"45","RP","Braunkohle",0
"46","SL","Braunkohle",0
"47","SN","Braunkohle",0.470108695652174
"48","ST","Braunkohle",0.126788465771517
"49","SH","Braunkohle",0
"50","TH","Braunkohle",0
"51","Summe","Braunkohle",0.107516414429488
"52","BW","Deponiegas",0.00174546947995277
"53","BY","Deponiegas",0.000322164948453608
"54","BE","Deponiegas",0
"55","BB","Deponiegas",0.00214765100671141
"56","HB","Deponiegas",0.00125707102451289
"57","HH","Deponiegas",0
"58","HE","Deponiegas",0.00368776889981561
"59","MV","Deponiegas",0.00230017251293847
"60","NI","Deponiegas",0.000739902506963788
"61","NW","Deponiegas",0.00125411135562339
"62","RP","Deponiegas",0.00128388017118402
"63","SL","Deponiegas",0
"64","SN","Deponiegas",0.00130434782608696
