"","typ","bundesland","prozent"
"1","Abfall","BW",0.0601965601965602
"2","Biomasse","BW",0.119699248120301
"3","Braunkohle","BW",0
"4","Deponiegas","BW",0.14468085106383
"5","Erdgas","BW",0.0410050329678904
"6","Geothermie","BW",0.03125
"7","Grubengas","BW",0
"8","Kernenergie","BW",0.224726549552536
"9","Klärgas","BW",0
"10","Laufwasser","BW",0.227233553576558
"11","Mehrere Energieträger
(nicht erneuerbar)","BW",0
"12","Mineralölprodukte","BW",0.181018877682958
"13","Pumpspeicher","BW",0.29496062992126
"14","Solare Strahlungsenergie","BW",0.134393100456738
"15","Sonstige Energieträger
(nicht erneuerbar) ","BW",0
"16","Speicherwasser 
(ohne Pumpspeicher)","BW",0
"17","Steinkohle","BW",0.204175905395418
"18","Unbekannter Energieträger
(nicht erneuerbar)","BW",0
"19","Windenergie 
(Offshore-Anlage)
Quelle: Anlagenregister","BW",0
"20","Windenergie 
(Onshore-Anlage)","BW",0.0169114493996569
"21","Abfall","BY",0.131449631449631
"22","Biomasse","BY",0.194736842105263
"23","Braunkohle","BY",0
"24","Deponiegas","BY",0.0382978723404255
"25","Erdgas","BY",0.175100464281534
"26","Geothermie","BY",0.71875
"27","Grubengas","BY",0
"28","Kernenergie","BY",0.435614849187935
"29","Klärgas","BY",0.350649350649351
"30","Laufwasser","BY",0.564205688020684
"31","Mehrere Energieträger
(nicht erneuerbar)","BY",0
"32","Mineralölprodukte","BY",0.250581846392552
"33","Pumpspeicher","BY",0.0866141732283465
"34","Solare Strahlungsenergie","BY",0.275701053813376
"35","Sonstige Energieträger
(nicht erneuerbar) ","BY",0.0123037759864234
"36","Speicherwasser 
(ohne Pumpspeicher)","BY",0.829268292682927
"37","Steinkohle","BY",0.0313008130081301
"38","Unbekannter Energieträger
(nicht erneuerbar)","BY",0
"39","Windenergie 
(Offshore-Anlage)
Quelle: Anlagenregister","BY",0
"40","Windenergie 
(Onshore-Anlage)","BY",0.0345465265866209
"41","Abfall","BE",0.0221130221130221
"42","Biomasse","BE",0.00511278195488722
"43","Braunkohle","BE",0.00774754346182918
"44","Deponiegas","BE",0
"45","Erdgas","BE",0.0424095821466193
"46","Geothermie","BE",0
"47","Grubengas","BE",0
"48","Kernenergie","BE",0
"49","Klärgas","BE",0
"50","Laufwasser","BE",0
"51","Mehrere Energieträger
(nicht erneuerbar)","BE",0
"52","Mineralölprodukte","BE",0.0845616757176106
"53","Pumpspeicher","BE",0
"54","Solare Strahlungsenergie","BE",0.00262815442320941
"55","Sonstige Energieträger
(nicht erneuerbar) ","BE",0
"56","Speicherwasser 
(ohne Pumpspeicher)","BE",0
"57","Steinkohle","BE",0.0287139689578714
"58","Unbekannter Energieträger
(nicht erneuerbar)","BE",0
"59","Windenergie 
(Offshore-Anlage)
Quelle: Anlagenregister","BE",0
"60","Windenergie 
(Onshore-Anlage)","BE",0.000187607204116638
"61","Abfall","BB",0.0724815724815725
"62","Biomasse","BB",0.0646616541353384
"63","Braunkohle","BB",0.208286092214664
"64","Deponiegas","BB",0.136170212765957
"65","Erdgas","BB",0.0330069057001287
"66","Geothermie","BB",0
"67","Grubengas","BB",0
"68","Kernenergie","BB",0
"69","Klärgas","BB",0
"70","Laufwasser","BB",0.00143636885952313
"71","Mehrere Energieträger
(nicht erneuerbar)","BB",0
"72","Mineralölprodukte","BB",0.0863718644944401
"73","Pumpspeicher","BB",0
"74","Solare Strahlungsenergie","BB",0.0781812150748896
"75","Sonstige Energieträger
(nicht erneuerbar) ","BB",0.0530335171828596
"76","Speicherwasser 
(ohne Pumpspeicher)","BB",0
"77","Steinkohle","BB",0
"78","Unbekannter Energieträger
(nicht erneuerbar)","BB",0
"79","Windenergie 
(Offshore-Anlage)
Quelle: Anlagenregister","BB",0
"80","Windenergie 
(Onshore-Anlage)","BB",0.148397298456261
"81","Abfall","HB",0.0558968058968059
"82","Biomasse","HB",0.000601503759398496
"83","Braunkohle","HB",0
"84","Deponiegas","HB",0.00851063829787234
"85","Erdgas","HB",0.0066325933439975
"86","Geothermie","HB",0
"87","Grubengas","HB",0
"88","Kernenergie","HB",0
"89","Klärgas","HB",0
"90","Laufwasser","HB",0.00287273771904625
"91","Mehrere Energieträger
(nicht erneuerbar)","HB",0
"92","Mineralölprodukte","HB",0.0227566589087148
"93","Pumpspeicher","HB",0
"94","Solare Strahlungsenergie","HB",0.00104615855681151
